sku;import_decision;import_reason;designation_final;measure_final;weight_final;source_engine_file;source_id;total_occurrences_global;engine_models_all;source_pages_all;source_ids_all;compacted_type
X59618300029/87;import_superseded;relacion superseded clara;OIL COOLER;;209.200 kg KANAELE: 50 OEL / 51 KM;engine_20V4000M93.json;1701928;4;20V4000M93;244, 640, 1036, 1432;1701928, 1705668, 1709408, 1713153;superseded
X52820200163;import_superseded;relacion superseded clara;COOLANT LINE;;707.000 g SB;engine_20V4000M93.json;1702352;6;20V4000M93, 20V4000M93L;279, 675, 1071, 1387, 1467, 1767;1702352, 1706092, 1709832, 1713576, 1802403, 1806062;superseded
X52820200164;import_superseded;relacion superseded clara;COOLANT LINE;;797.000 g SB;engine_20V4000M93.json;1702357;6;20V4000M93, 20V4000M93L;279, 675, 1071, 1387, 1467, 1767;1702357, 1706097, 1709837, 1713581, 1802408, 1806067;superseded
X59699100017;import_superseded;relacion superseded clara;RETAINER;;2.124 kg;engine_20V4000M93.json;1702359;6;20V4000M93, 20V4000M93L;279, 675, 1071, 1387, 1467, 1767;1702359, 1706099, 1709839, 1713583, 1802410, 1806069;superseded
X52820200054;import_superseded;relacion superseded clara;VENT LINE;;175.000 g;engine_20V4000M93.json;1702549;6;20V4000M93, 20V4000M93L;286, 682, 1078, 1395, 1474, 1775;1702549, 1706289, 1710029, 1713773, 1802601, 1806260;superseded
5550781241;import_superseded;relacion superseded clara;BRACKET;;0.103 KGM;engine_20V4000M93.json;1702614;12;20V4000M93, 20V4000M93L;288, 684, 1080, 1397, 1476, 1777;1702614, 1702622, 1706354, 1706362, 1710094, 1710102, 1713838, 1713846, 1802666, 1802674, 1806325, 1806333;superseded
X59620300015;import_superseded;relacion superseded clara;VENT LINE;;0.19 KGM;engine_20V4000M93.json;1702636;6;20V4000M93, 20V4000M93L;288, 684, 1080, 1397, 1476, 1777;1702636, 1706376, 1710116, 1713860, 1802688, 1806347;superseded
X59620200081;import_superseded;relacion superseded clara;VENT LINE;;0.120 kg;engine_20V4000M93.json;1702654;6;20V4000M93, 20V4000M93L;288, 684, 1080, 1397, 1476, 1777;1702654, 1706394, 1710134, 1713878, 1802706, 1806365;superseded
X59620600003;import_superseded;relacion superseded clara;THERMOSTAT HOUSING;;;engine_20V4000M93.json;1702793;4;20V4000M93;302, 698, 1094, 1490;1702793, 1706533, 1710273, 1714016;superseded
X59620600004;import_superseded;relacion superseded clara;THERMAL ACTUATOR;;;engine_20V4000M93.json;1702802;4;20V4000M93;302, 698, 1094, 1490;1702802, 1706542, 1710282, 1714025;superseded
X52401100007/87;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;SAFETY VALVE WITH TEST CERT. 3.1;;;engine_20V4000M93L.json;1800010;6;20V4000M93L;1123, 1496;1800010, 1800016, 1800023, 1803582, 1803588, 1803595;superseded
